Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"R. Veronez, Maurício; Kupssinskü, Lucas S; T. Guimarães, Tainá; Koste, Emilie C; Da Silva, Juarez M; De Souza, Laís V; Oliverio, William FM; Jardim, Rogélio S; Koch, Ismael É; De Souza, Jonas G; ",Proposal of a method to determine the correlation between total suspended solids and dissolved organic matter in water bodies from spectral imaging and artificial neural networks,Sensors,18,1,159,2018,MDPI
"Chagas, Michael William; Farias, Kleinner; Gonçales, Lucian; Kupssinskü, Lucas; Gluz, João Carlos; ",Hermes: A Natural Language Interface Model for Software Transformation,Proceedings of the XV Brazilian Symposium on Information Systems,,,1-8,2019,
"Kupssinskü, Lucas Silveira; Souza, Gustavo; da Silva Barbosa, José Ernesto; ",Modelagem e Simulação de uma Equipe de Desenvolvimento Scrum,Anais do Computer on the Beach,,,629-638,2019,
"Figueiredo, Rodrigo Marques; Veronez, Maurício Roberto; Wohnrath, Francisco Manoel; da Silva, Márcio Rosa; Gonzaga, Luiz; Kupssinskü, Lucas Silveira; Bordin, Fabiane; Brum, Diego; Cazarin, Caroline Lessio; ",Artificial neural network–based method to classify sedimentary rocks,2018 12th International Conference on Sensing Technology (ICST),,,282-286,2018,IEEE
"Kupssinskü, Lucas Silveira; ",MITRAS: modelo inteligente para transformação de aplicações de software,,,,,2019,Universidade do Vale do Rio dos Sinos
"Veronez, Mauricio Roberto; Gonzaga, Luiz; Bordin, Fabiane; Inocencio, Leonardo Campos; Eliane, Graciela; Racolte, Dos Reis; Kupssinskü, Lucas Silveira; Rossa, Pedro; Scalco, Leonardo; ",Imspector: Immersive system of inspection of bridges/viaducts,2019 IEEE conference on virtual reality and 3D user interfaces (VR),,,1203-1204,2019,IEEE
"Veronez, Mauricio R; Gonzaga, Luiz; Bordin, Fabiane; Kupssinsku, Lucas; Kannenberg, Gabriel Lanzer; Duarte, Tiago; Santana, Leonardo G; de Fraga, Lean Luca; Alves, Demétrius Nunes; Marson, Fernando Pinho; ",RIDERS: Road inspection & driver simulation,2018 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),,,715-716,2018,IEEE
"Rossa, Pedro; Horota, Rafael Kenji; Aires, Alysson Soares; Kupssinskü, Lucas Silveira; Kremer, Carolina Jung; Souza, Eniuce Menezes de; Marques Jr, Ademir; Jr, Luiz Gonzaga; Veronez, Mauricio Roberto; Cazarin, Caroline Lessio; ","VROffice: interactive and immersive 3D visualization, manipulation and correlation of multivariable georeferenced datasets in virtual reality (Demo Paper)",Proceedings of the 27th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,,,600-603,2019,
"Marques, Ademir; Rossa, Pedro; Horota, Rafael Kenji; Brum, Diego; De Souza, Eniuce Menezes; Aires, Alyson Soares; Kupssinskü, Lucas; Veronez, Maurício Roberto; Gonzaga, Luis; Cazarin, Caroline Lessio; ",Improving spatial resolution of LANDSAT spectral bands from a single RGB image using artificial neural network,2019 13th International Conference on Sensing Technology (ICST),,,1-6,2019,IEEE
"Kupssinskü, Lucas Silveira; Guimarães, Tainá Thomassim; de Freitas, Rafael; De Souza, Eniuce Menezes; Rossa, Pedro; Marques, Ademir; Veronez, Maurício Roberto; Gonzaga, Luiz; Cazarin, Caroline Lessio; Mauad, Frederico Fábio; ",Prediction of chlorophyll-a and suspended solids through remote sensing and artificial neural networks,2019 13th International Conference on Sensing Technology (ICST),,,1-6,2019,IEEE
"Silveira Kupssinskü, Lucas; Thomassim Guimarães, Tainá; Menezes de Souza, Eniuce; C. Zanotta, Daniel; Roberto Veronez, Mauricio; Gonzaga Jr, Luiz; Mauad, Frederico Fabio; ",A method for chlorophyll-a and suspended solids prediction through remote sensing and machine learning,Sensors,20,7,2125,2020,MDPI
"Marques Jr, Ademir; Horota, Rafael Kenji; de Souza, Eniuce Menezes; Kupssinskü, Lucas; Rossa, Pedro; Aires, Alysson Soares; Bachi, Leonardo; Veronez, Mauricio Roberto; Gonzaga Jr, Luiz; Cazarin, Caroline Lessio; ",Virtual and digital outcrops in the petroleum industry: A systematic review,Earth-Science Reviews,,,103260,2020,Elsevier
"Gonçales, Lucian José; Farias, Kleinner; Kupssinskü, Lucas Silveira; Segalotto, Matheus; ",Evaluation of machine learning techniques to classify code comprehension based on developers' EEG data,Proceedings of the 19th Brazilian Symposium on Human Factors in Computing Systems,,,1-10,2020,
"Chagas, Michael William; Farias, Kleinner; Gonçales, Lucian; Kupssinskü, Lucas; Gluz, João Carlos; ",Hermes: Um Modelo de Interface de Linguagem Natural para Transformação em Software,Simpósio Brasileiro de Sistemas de Informação (SBSI),,,335-342,2019,SBC
"De Souza, Eniuce Menezes; Marques, Ademir; Horota, Rafael K; Kupssinsku, Lucas; Rossa, Pedro; Aires, Alysson S; Silveira, Luiz Gonzaga; Veronez, Maurício R; Cazarin, Carol L; ",How much wavelet decomposition can improve the detection of surface fractures in remote sensing images?,IGARSS 2020-2020 IEEE International Geoscience and Remote Sensing Symposium,,,2619-2622,2020,IEEE
"Zanotta, Daniel Capella; Júnior, Ademir Marques; Aires, Alysson Soares; Bordin, Fabiane; Racolte, Graciela; Motta, João Gabriel; Kupssinskü, Lucas; Muller, Marianne; Horota, Rafael Kenji; Guimarães, Tainá Thomassin; ",A Multi-Looking Approach for Spatial Super-Resolution on Laboratory-Based Hyperspectral Images,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,,,3869-3872,2021,IEEE
"Guimarães, Tainá Thomassim; Mariani, Diego Henrique Diemmer; Kupssinskü, Lucas Silveira; Rossa, Pedro; Horota, Rafael Kenji; De Freitas, Rafael; Roupinha, Luiz; Weppo, Branda Eloá; Weschenfelder, Aline; Spigolon, André Luiz Durante; ",Mosis lab hyperspectral-visualization and correlation of hyperspectral data on immersive virtual reality,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,,,5747-5750,2021,IEEE
"Guimarães, Tainá Thomassim; Kupssinskü, Lucas Silveira; Zanotta, Daniel Capella; Motta, João Gabriel; Spigolon, André Luiz Durante; Gonzaga, Luiz; Veronez, Maurício Roberto; ",Kerogen type classification in hydrocarbon source rocks using hyperspectral data and machine learning,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,,,3633-3636,2021,IEEE
"Kupssinskü, Lucas Silveira; Guimarães, Tainá Thomassim; Cazarin, Caroline Lessio; Gonzaga, Luiz; Veronez, Maurício Roberto; ",Vizspectraldata: A web-based application for hyperspectral data visualization,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,,,5751-5754,2021,IEEE
"Gonçales, Lucian Jose; Farias, Kleinner; Kupssinskü, Lucas; Segalotto, Matheus; ",The effects of applying filters on EEG signals for classifying developers’ code comprehension,Journal of applied research and technology,19,6,584-602,2021,"Universidad Nacional Autónoma de México, Instituto de Ciencias Aplicadas y …"
"Kupssinskü, LS; Guimarães, TT; Cardoso, M d B; Bachi, L; Zanotta, D; Estilon de Souza, I; Falcão, AX; Velloso, RQ; Cazarin, CL; Veronez, MR; ",Hyperspectral data as a proxy for porosity estimation of carbonate rocks,Australian Journal of Earth Sciences,69,6,861-875,2022,Taylor & Francis
"Kupssinskü, Lucas Silveira; de Barcelos Cardoso, Milena; Alves, Demétrius Nunes; de Freitas, Rafael; Adamski, Gabriel; Jeske, Wendel Blank; Guimarães, Tainá Thomassim; Spigolon, André Luiz Durante; Gonzaga Jr, Luiz; Veronez, Mauricio Roberto; ",From the Cloud to the Digital Outcrop Model: Lithostratigraphic Interpretation in Mosis Suite,Virtual Geoscience Conference VGC,,2021,,2021,
"Goncales, Lucian Jose; Farias, Kleinner; Kupssinskü, Lucas Silveira; Segalotto, Matheus; ",An empirical evaluation of machine learning techniques to classify code comprehension based on EEG data,Expert Systems with Applications,203,,117354,2022,Pergamon
"Guimarães, Tainá T; Kupssinskü, Lucas S; Cardoso, Milena B; Bachi, Leonardo; Aires, Alysson S; Koste, Emilie C; Spigolon, André LD; Gonzaga, Luiz; Veronez, Mauricio R; ",A nondestructive alternative for kerogen type determination in potential hydrocarbon source rocks using hyperspectral data and machine learning,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,15,,6418-6431,2022,IEEE
"Marques Jr, Ademir; dos Reis Racolte, Graciela Eliane; Kupssinsku, Lucas Silveira; Thomassim, Tainá; ",Modelos de afloramentos inteligentes a partir da inferência de dados geológicos utilizando aprendizado de máquina,,,,,2022,
"Kupssinskü, Lucas Silveira; ",Estimativa de Porosidade de Rochas Utilizando Aprendizado de Máquina e Dados Hiperespectrais: Um Estudo Aplicado aos Afloramentos Carbonáticos da Formação Salitre e da Formação Jandaíra,,,,,2022,Universidade do Vale do Rio dos Sinos
"Nunes, Gabriel Lopes; Farias, Kleinner; Kupssinski, Lucas Silveira; ",Parthenos: A source code injection approach for software transformation,arXiv preprint arXiv:2105.05407,,,,2021,
"Küpssinski, Lucas Silveira; Gluz, João Carlos; ",MITRAS Intelligent Model for Software Transformation,Computer on the Beach (2018),,,921-923,2018,
"Zanotta, Daniel C; Junior, Ademir Marques; Motta, João Gabriel; Sales, Vinícius; Guimarães, Tainá T; Kupssinsku, Lucas S; Racolte, Graciela; Bordin, Fabiane; Cazarin, Caroline L; Gonzaga Jr, Luiz; ",An assisted multi-frame approach for super-resolution in hyperspectral images of rock samples,Computers & Geosciences,181,,105456,2023,Pergamon
"Parraga, Otavio; More, Martin D; Oliveira, Christian M; Gavenski, Nathan S; Kupssinskü, Lucas S; Medronha, Adilson; Moura, Luis V; Simões, Gabriel S; Barros, Rodrigo C; ",Fairness in Deep Learning: A survey on vision and language research,ACM Computing Surveys,57,6,1-40,2025,"ACM New York, NY"
"Ravazio, Rafaela; Mattjie, Christian; De Moura, Luis Vinicius; Kupssinskü, Lucas; Barros, Rodrigo C; Machado, Denise Cantarelli; Da Silva, Ana Maria Marques; ",Radiomics for predicting oxygen necessity in COVID-19 patients using longitudinal lung computed tomography,2023 IEEE 23rd International Conference on Bioinformatics and Bioengineering (BIBE),,,272-276,2023,IEEE
"Mattjie, Christian; De Moura, Luis Vinicius; Ravazio, Rafaela; Kupssinsku, Lucas; Parraga, Otávio; Delucis, Marcelo Mussi; Barros, Rodrigo C; ",Zero-shot performance of the Segment Anything Model (SAM) in 2D medical imaging: A comprehensive evaluation and practical guidelines,2023 IEEE 23rd International Conference on Bioinformatics and Bioengineering (BIBE),,,108-112,2023,IEEE Computer Society
"Marques, Ademir; Rossa, Pedro; Horota, Rafael Kenji; Brum, Diego; De Souza, Eniuce Menezes; Aires, Alyson Soares; Kupssinskü, Lucas; Veronez, Maurício Roberto; Gonzaga, Luis; Cazarin, Caroline Lessio; ",Improving spatial resolution of LANDSAT spectral bands from a single RGB image using artificial neural network,2019 13th International Conference on Sensing Technology (ICST),,,1-6,2019,IEEE
"Marques Junior, Ademir; De Souza, Eniuce Menezes; Müller, Marianne; Brum, Diego; Zanotta, Daniel Capella; Horota, Rafael Kenji; Kupssinskü, Lucas Silveira; Veronez, Maurício Roberto; Gonzaga Jr, Luiz; Cazarin, Caroline Lessio; ",Improving spatial resolution of multispectral rock outcrop images using RGB data and artificial neural networks,Sensors,20,12,3559,2020,MDPI
"Medronha, Adilson; Lima, Luís; Claudio, Janaína; Kupssinskü, Lucas; Barros, Rodrigo C; ",LERMO: A Novel Web Game for AI-Enhanced Sign Language Recognition,Proceedings of the AAAI Conference on Artificial Intelligence,38,21,23352-23359,2024,
"Mattjie, Christian; de Moura, Luis V; Ravazio, Rafaela C; Parraga, Otavio; Kupssinskü, Lucas S; Medronha, Adilson; da Silva, Ana MM; Barros, Rodrigo C; ",Semi-supervised learning for mRALE score prediction in COVID-19 chest radiographs,Medical Imaging 2024: Computer-Aided Diagnosis,12927,,33-38,2024,SPIE
"de Moura, Luís Vinícius; Ravazio, Rafaela; Mattjie, Christian; Kupssinskü, Lucas Silveira; Freitas, Carla Maria Dal Sasso; Barros, Rodrigo C; ",Unlocking The Potential Of Vision-Language Models For Mammography Analysis,2024 IEEE International Symposium on Biomedical Imaging (ISBI),,,1-4,2024,IEEE
"Parraga, Otávio; Kupssinskü, Lucas S; Mattjie, Christian; Barros, Rodrigo C; ",One against many: exploring multi-task learning generalization in source-code tasks,2024 International Joint Conference on Neural Networks (IJCNN),,,1-8,2024,IEEE
"Schlindwein, M; Franco, A; Catao, J; Teixeira-dos-Santos, D; Bieger, A; Hugentobler Schlickmann, T; Angi Souza, L; Mattjie, C; Suzuki, F; Magalhaes Pereira, G; ",Clinical and Neuroimaging Biomarker Predictors of Cognitive Dysfunction in Parkinson's disease (PD): A Study Using PPMI Data,MOVEMENT DISORDERS,39,,S119-S119,2024,"WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
